model,mean_rmspe,std_rmspe,minimum_rmspe,maximum_rmspe,mean_wape_open,mean_bias_open_pct
Recent 365-day Store + weekday + Promo,0.14451545883830555,0.008835619349257256,0.1344845651934801,0.151144612201456,0.10190862629723522,-2.7288971518956195
50% recent 180-day blend,0.14807574506537372,0.008440052734402622,0.13875042240259947,0.15519060094162443,0.10508840206524972,-3.001713273585691
75% recent 180-day blend,0.14851836234942528,0.006996381440434575,0.14063648323668063,0.15399433920147385,0.10437917576978839,-2.2539864323839325
25% recent 180-day blend,0.15079418254463195,0.009716862086789896,0.14019677634873784,0.15928485137753196,0.10817834592765556,-3.7494401147874505
Recent 180-day Store + weekday + Promo,0.15208777734728698,0.005531885457734606,0.14572562643345244,0.1557628503038855,0.10614055847012659,-1.5062595911821732
Long-term Store + weekday + Promo,0.15651541818347944,0.010747385952095663,0.14487577286149633,0.1660628804980763,0.11352153591459625,-4.497166955989209
