DayOfWeek,rows,actual_sales,predicted_sales,rmspe,mean_actual,mean_prediction,bias_pct
1,5992,50159856,47877632.927315265,0.14072734867571862,8371.13751668892,7990.259166774911,-4.5498995704547776
2,5992,44264845,41625365.366593674,0.14137535821802089,7387.323931909213,6946.82332553299,-5.962925281690981
3,5992,40850675,39756237.602939576,0.12967912411764534,6817.5358811749,6634.8861153103435,-2.6791170453374984
4,5992,40532226,39646671.117835075,0.1293246689550112,6764.390186915888,6616.600653844305,-2.184816797786841
5,5992,42152721,42109749.326900974,0.1515245998707044,7034.833277703605,7027.661770177065,-0.10194282143500555
6,5136,29875079,31118916.639658924,0.17305476428148817,5816.7988707165105,6058.9790965068,4.163462261167323
7,5992,1564000,1331669.8947725936,0.22720938821887984,261.0146862483311,222.24130420103364,-14.854866063133398
