model,rmspe,mae,rmse,wape,bias_pct,evaluation_rows,positive_actual_rows,fit_seconds
Store + weekday + Promo mean,0.14487577286149633,648.1435637007132,1025.3594124279778,0.10678021892504339,-2.3789788894457407,41088,35262,0.0
Target encoding + HGB — log1p Sales,0.1661389078373289,704.5621006221766,1067.967291650292,0.11607504812847944,-0.016535904172838126,41088,35262,14.934181899996474
Target encoding + HGB — direct Sales,0.17913265026890027,713.7495055834303,1074.3159822568664,0.11758865278037829,1.426908265667498,41088,35262,14.83133590000216
Ridge — log1p Sales,0.18253050719206898,782.756190171769,1225.1917950537334,0.12895735147663925,-2.3695100867700285,41088,35262,6.082066600007238
Ridge — direct Sales,0.19645827363215956,816.4878305013297,1238.6655707677298,0.13451456463251116,-2.35672845311457,41088,35262,6.079581700003473
Store + weekday mean,0.22783945791517146,1080.712534606373,1541.6310149171993,0.1780450003721607,-3.160627051848407,41088,35262,0.0
Store mean,0.2853976589871213,1225.8552389498088,1764.9216865894957,0.20195693996880454,-3.4665621104740745,41088,35262,0.0
Global open-store mean,0.5017091558639803,1859.8265920293593,2743.0255248889357,0.30640231853203204,-1.8118488318330024,41088,35262,0.0
