StoreType,Assortment,rows,actual_sales,predicted_sales,rmspe,mean_actual,mean_prediction,bias_pct
a,a,12672,69740851,70487119.83937891,0.14895125103268686,5503.539378156565,5562.43054288028,1.070059841080672
a,c,9456,63057647,61159000.0047726,0.1525544492003958,6668.532889170897,6467.745347374429,-3.0109702558793487
b,a,96,1689925,1650149.193668723,0.08997819449566803,17603.385416666668,17189.054100715864,-2.353702462019137
b,b,432,4225473,3691518.536744607,0.18169770068810306,9781.1875,8545.181798019925,-12.63656076504081
b,c,48,839860,872376.5348133257,0.07963077994840707,17497.083333333332,18174.511141944287,3.8716613260931267
c,a,2160,12403421,12269325.888823608,0.1362513201428679,5742.324537037037,5680.243467047967,-1.0811139215252958
c,c,2112,11892903,11538120.458845966,0.15706163459166733,5631.109375,5463.125217256613,-2.9831449996189696
d,a,5376,30265995,29749823.03343483,0.13428132659478748,5629.835379464285,5533.8212487788005,-1.7054518332047877
d,c,8736,55283327,52048809.38553351,0.13364986406886728,6328.219665750916,5957.9681073183965,-5.850801299398078
