DayOfWeek,rows,actual_sales,predicted_sales,rmspe,bias_pct
1,5992,50159856,48555457.19319992,0.12365108862792815,-3.1985713970153395
2,5992,44264845,42772775.52500658,0.136485222296948,-3.370777588836976
3,5992,40850675,40341545.91443615,0.11559341773419315,-1.246317436771486
4,5992,40532226,40572463.93022727,0.11637552431173595,0.0992739215143867
5,5992,42152721,42866397.21945216,0.1400120833138088,1.6930727187271202
6,5136,29875079,32097212.27060043,0.17014658258425752,7.438083328919168
7,5992,1564000,1427352.9632824128,0.19964804714784254,-8.737022808029861
