StoreType,Assortment,stores,forecast_sales,open_store_days,promo_store_days,mean_sales_per_open_store_day
a,a,264,69796062.58521913,10756,5012,6489.035197584523
a,c,197,62475604.76684622,8147,3743,7668.541152184389
b,a,2,1663311.5007899897,96,38,17326.161466562393
b,b,9,3977123.5149703915,423,167,9402.18325052102
b,c,1,866713.515344251,48,19,18056.531569671894
c,a,45,12356441.500698183,1836,855,6730.087963343237
c,c,44,11902055.709333476,1799,836,6615.928687789592
d,a,112,29606941.9330274,4559,2124,6494.17458500272
d,c,182,54389862.39192815,7440,3458,7310.46537525916
