model,mean_rmspe,std_rmspe,minimum_rmspe,maximum_rmspe,mean_wape_open,mean_bias_open_pct,mean_fit_seconds
50% baseline / 50% residual,0.14417270908195093,0.012273009679344431,0.13533393080210815,0.15818552125430016,0.10062596484876248,-1.1704387470319053,3.2504237333293227
Recent 365-day Store + weekday + Promo,0.14451545883830555,0.008835619349257256,0.1344845651934801,0.151144612201456,0.10190862629723522,-2.7288971518956195,0.0
25% baseline / 75% residual,0.15315002686496873,0.022170263934161386,0.1376606404626273,0.17854634278388404,0.10759810102411194,-0.3912095446000479,3.2504237333293227
Residual HGB,0.16671722854079984,0.03533144581938993,0.1385151291732203,0.20634850065085067,0.11842767369267371,0.3880196578318091,3.2504237333293227
